epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
13,1043.76,1.36397,1.13183,1.4448,0.73146,0.88956,0.83368,0.49365,1.3305,1.00088,1.58797,0.001208,0.001208,0.001208
14,1122.85,1.33406,1.097,1.43266,0.72216,0.88805,0.82057,0.51282,1.24832,1.07407,1.55202,0.001142,0.001142,0.001142
15,1202.12,1.32659,1.08627,1.41532,0.78292,0.933,0.8917,0.56743,1.23064,0.87741,1.54798,0.001076,0.001076,0.001076
16,1281.67,1.3338,1.07765,1.41672,0.79223,0.89713,0.88481,0.57931,1.16784,0.8611,1.48626,0.00101,0.00101,0.00101
17,1360.83,1.31187,1.04083,1.41428,0.78191,0.8941,0.86612,0.54361,1.12899,0.89539,1.47634,0.000944,0.000944,0.000944
18,1439.72,1.29943,1.03205,1.40802,0.79674,0.89561,0.8775,0.5438,1.21947,0.86874,1.5195,0.000878,0.000878,0.000878
19,1518.86,1.26662,1.00189,1.37023,0.83031,0.8941,0.8982,0.58977,1.16505,0.81018,1.47106,0.000812,0.000812,0.000812
20,1597.84,1.26851,0.994,1.35941,0.79098,0.93041,0.90574,0.60244,1.14148,0.79046,1.44477,0.000746,0.000746,0.000746
21,1691.38,1.1521,0.85969,1.41141,0.84921,0.9289,0.93259,0.62505,1.13764,0.73801,1.45718,0.00068,0.00068,0.00068
22,1770.01,1.13902,0.7961,1.41539,0.83847,0.93448,0.92216,0.61823,1.1452,0.73549,1.46159,0.000614,0.000614,0.000614
23,1848.74,1.10551,0.77418,1.38646,0.87308,0.92738,0.94128,0.63823,1.15928,0.70218,1.47641,0.000548,0.000548,0.000548
24,1927.66,1.12684,0.77214,1.39366,0.86741,0.90067,0.94529,0.6493,1.13533,0.69257,1.44908,0.000482,0.000482,0.000482
25,2006.14,1.09585,0.73842,1.37024,0.85791,0.94084,0.94654,0.65369,1.15701,0.68976,1.47273,0.000416,0.000416,0.000416
26,2084.63,1.07998,0.71154,1.35114,0.8639,0.93041,0.95364,0.65661,1.11067,0.66763,1.44925,0.00035,0.00035,0.00035
27,2163.72,1.06133,0.69737,1.34307,0.88579,0.92436,0.95392,0.67083,1.09185,0.63429,1.42361,0.000284,0.000284,0.000284
28,2242.89,1.05779,0.69604,1.32414,0.87079,0.92133,0.9499,0.68051,1.04872,0.64606,1.39615,0.000218,0.000218,0.000218
29,2321.09,1.02585,0.66064,1.30418,0.886,0.91713,0.9552,0.66493,1.11575,0.6365,1.43511,0.000152,0.000152,0.000152
30,2399.32,1.0218,0.65724,1.32067,0.90451,0.9028,0.95441,0.67995,1.07188,0.61345,1.41286,8.6e-05,8.6e-05,8.6e-05
